"","REGION","RECEIVING.COUNTRY","CUSTOMER","NAME_1","NAME_2","NAME_3","DESCRIPTION","BILLING.DOC","SERVICE.DATE","CONSIGNMENT.ID","ARTICLE.ID","BILLED.LENGTH","BILLED.WIDTH","BILLED.HEIGHT","CUBIC.WEIGHT","BILLED.WEIGHT","ACTUAL.WEIGHT","CHARGE.ZONE","FROM.STATE","AVG..UNIT.PRICE","AMOUNT.EXCL.TAX","uplift_service","customer_code","is_gst_free_zone","cubic_size","cubic_weight","max_weight","over_max_limits_fee","weight_category_max","row_index_max","col_index_max","charge_value_max_incgst","base_charge_incgst"
"60737","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34342987","00093480830462193354",0.34,0.3,0.26,0,15.9,15.9,"V0","VIC",7.33,6.66,"eparcel_wine.VIC","ORE","No",0.02652,6.63,15.9,NA,"X9.01kg_to_16kg",10,6,9.18,9.18
"60738","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34342996","00093480830462193644",0.36,0.31,0.26,0,15.85,15.85,"V1","VIC",5.83,5.3,"eparcel_wine.VIC","ORE","No",0.029016,7.254,15.85,NA,"X9.01kg_to_16kg",11,6,10.05,10.05
"60739","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34342996","00093480830462193682",0.36,0.31,0.26,0,15.85,15.85,"V1","VIC",7.33,6.66,"eparcel_wine.VIC","ORE","No",0.029016,7.254,15.85,NA,"X9.01kg_to_16kg",11,6,10.05,10.05
"60740","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34345170","00093480830462194405",0.33,0.31,0.24,0,14.3,14.3,"CB","VIC",15.85,14.41,"eparcel_wine.VIC","ORE","No",0.024552,6.138,14.3,NA,"X9.01kg_to_16kg",6,6,18.3,18.3
"60741","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34345180","00093480830462194443",0.36,0.3,0.27,0,15.9,15.9,"V0","VIC",5.83,5.3,"eparcel_wine.VIC","ORE","No",0.02916,7.29,15.9,NA,"X9.01kg_to_16kg",10,6,9.18,9.18
"60742","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34345180","00093480830462194481",0.36,0.31,0.26,0,15.9,15.9,"V0","VIC",7.33,6.66,"eparcel_wine.VIC","ORE","No",0.029016,7.254,15.9,NA,"X9.01kg_to_16kg",10,6,9.18,9.18
"60743","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34345184","00093480830462194603",0.32,0.31,0.23,0,14.55,14.5,"V0","VIC",7.33,6.66,"eparcel_wine.VIC","ORE","No",0.022816,5.704,14.55,NA,"X9.01kg_to_16kg",10,6,9.18,9.18
"60744","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34345191","00093480830462194887",0.33,0.31,0.24,0,14.3,14.3,"V2","VIC",14.61,13.28,"eparcel_wine.VIC","ORE","No",0.024552,6.138,14.3,NA,"X9.01kg_to_16kg",15,6,15.17,15.17
"60745","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34345193","00093480830462194993",0.36,0.32,0.26,0,16.5,16.5,"V2","VIC",15.61,14.19,"eparcel_wine.VIC","ORE","No",0.029952,7.488,16.5,NA,"X16.01kg_to_22kg",15,7,17.81,17.81
"60746","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34345193","00093480830462195037",0.36,0.33,0.26,0,16.5,16.5,"V2","VIC",14.11,12.83,"eparcel_wine.VIC","ORE","No",0.030888,7.722,16.5,NA,"X16.01kg_to_22kg",15,7,17.81,17.81
"60747","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34345197","00093480830462192869",0.34,0.31,0.24,0,14.3,14.3,"V2","VIC",14.61,13.28,"eparcel_wine.VIC","ORE","No",0.025296,6.324,14.3,NA,"X9.01kg_to_16kg",15,6,15.17,15.17
"60748","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34345205","00093480830462192975",0.33,0.31,0.25,0,14.3,14.3,"Q2","VIC",33.3,30.31,"eparcel_wine.VIC","ORE","No",0.025575,6.39375,14.3,NA,"X9.01kg_to_16kg",22,6,33.18,33.18
"60749","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34345229","00093480830462193743",0.32,0.31,0.23,0,14.5,14.5,"W3","VIC",31.41,28.55,"eparcel_wine.VIC","ORE","No",0.022816,5.704,14.5,NA,"X9.01kg_to_16kg",31,6,32.17,32.17
"60750","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34345229","00093480830462193781",0.32,0.31,0.23,0,14.5,14.5,"W3","VIC",29.91,27.19,"eparcel_wine.VIC","ORE","No",0.022816,5.704,14.5,NA,"X9.01kg_to_16kg",31,6,32.17,32.17
"60751","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34345230","00093480830462193828",0.32,0.31,0.23,0,14.5,14.5,"T0","VIC",29.12,26.47,"eparcel_wine.VIC","ORE","No",0.022816,5.704,14.5,NA,"X9.01kg_to_16kg",32,6,29.76,29.76
"60752","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34345231","00093480830462193866",0.32,0.31,0.23,0,14.55,14.55,"T0","VIC",29.12,26.47,"eparcel_wine.VIC","ORE","No",0.022816,5.704,14.55,NA,"X9.01kg_to_16kg",32,6,29.76,29.76
"60753","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34345263","00093480830462194733",0.3,0.26,0.18,0,8.1,8.1,"V0","VIC",7.33,6.66,"eparcel_wine.VIC","ORE","No",0.01404,3.51,8.1,NA,"X5.01kg_to_9kg",10,5,9.18,9.18
"60754","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34345267","00093480830462194818",0.36,0.31,0.26,0,15.9,15.9,"V2","VIC",15.11,13.74,"eparcel_wine.VIC","ORE","No",0.029016,7.254,15.9,NA,"X9.01kg_to_16kg",15,6,15.17,15.17
"60755","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34345269","00093480830462194900",0.33,0.31,0.24,0,14.35,14.35,"V3","VIC",10.74,9.76,"eparcel_wine.VIC","ORE","No",0.024552,6.138,14.35,NA,"X9.01kg_to_16kg",14,6,13.02,13.02
"60756","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34347086","00093480830462193231",0.33,0.31,0.25,0,14.35,14.35,"CB","VIC",15.85,14.41,"eparcel_wine.VIC","ORE","No",0.025575,6.39375,14.35,NA,"X9.01kg_to_16kg",6,6,18.3,18.3
"60757","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34347095","00093480830462193460",0.35,0.31,0.26,0,15.9,15.9,"V0","VIC",7.33,6.66,"eparcel_wine.VIC","ORE","No",0.02821,7.0525,15.9,NA,"X9.01kg_to_16kg",10,6,9.18,9.18
"60758","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34347098","00093480830462193637",0.32,0.31,0.23,0,14.5,14.5,"V0","VIC",7.33,6.66,"eparcel_wine.VIC","ORE","No",0.022816,5.704,14.5,NA,"X9.01kg_to_16kg",10,6,9.18,9.18
"60759","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34347116","00093480830462194214",0.32,0.31,0.23,0,14.5,14.5,"V2","VIC",13.11,11.92,"eparcel_wine.VIC","ORE","No",0.022816,5.704,14.5,NA,"X9.01kg_to_16kg",15,6,15.17,15.17
"60760","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34347116","00093480830462194252",0.32,0.3,0.23,0,14.5,14.5,"V2","VIC",14.61,13.28,"eparcel_wine.VIC","ORE","No",0.02208,5.52,14.5,NA,"X9.01kg_to_16kg",15,6,15.17,15.17
"60761","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34347125","00093480830462194344",0.33,0.31,0.25,0,14.35,14.35,"Q0","VIC",16.54,15.04,"eparcel_wine.VIC","ORE","No",0.025575,6.39375,14.35,NA,"X9.01kg_to_16kg",16,6,16.48,16.48
"60762","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34347149","00093480830462194580",0.32,0.3,0.23,0,14.5,14.45,"S0","VIC",15.77,14.34,"eparcel_wine.VIC","ORE","No",0.02208,5.52,14.5,NA,"X9.01kg_to_16kg",25,6,16.59,16.59
"60763","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34347149","00093480830462194627",0.32,0.31,0.23,0,14.5,14.5,"S0","VIC",14.27,12.97,"eparcel_wine.VIC","ORE","No",0.022816,5.704,14.5,NA,"X9.01kg_to_16kg",25,6,16.59,16.59
"60764","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34347155","00093480830462194825",0.32,0.31,0.23,0,14.5,14.5,"S0","VIC",15.77,14.34,"eparcel_wine.VIC","ORE","No",0.022816,5.704,14.5,NA,"X9.01kg_to_16kg",25,6,16.59,16.59
"60765","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34347155","00093480830462194863",0.32,0.3,0.23,0,14.5,14.5,"S0","VIC",14.27,12.97,"eparcel_wine.VIC","ORE","No",0.02208,5.52,14.5,NA,"X9.01kg_to_16kg",25,6,16.59,16.59
"60766","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34347158","00093480830462194979",0.32,0.31,0.23,0,14.5,14.5,"S0","VIC",15.77,14.34,"eparcel_wine.VIC","ORE","No",0.022816,5.704,14.5,NA,"X9.01kg_to_16kg",25,6,16.59,16.59
"60767","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34347167","00093480830462195143",0.32,0.31,0.23,0,14.5,14.55,"W0","VIC",17.49,15.9,"eparcel_wine.VIC","ORE","No",0.022816,5.704,14.5,NA,"X9.01kg_to_16kg",28,6,18.89,18.89
"60768","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34347168","00093480830462192685",0.32,0.31,0.23,0,14.5,14.5,"W0","VIC",17.49,15.9,"eparcel_wine.VIC","ORE","No",0.022816,5.704,14.5,NA,"X9.01kg_to_16kg",28,6,18.89,18.89
"60769","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34347172","00093480830462192708",0.33,0.31,0.24,0,14.35,14.3,"W0","VIC",17.49,15.9,"eparcel_wine.VIC","ORE","No",0.024552,6.138,14.35,NA,"X9.01kg_to_16kg",28,6,18.89,18.89
"60770","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34347307","00093480830462193132",0.34,0.3,0.26,0,15.95,15.95,"V0","VIC",7.33,6.66,"eparcel_wine.VIC","ORE","No",0.02652,6.63,15.95,NA,"X9.01kg_to_16kg",10,6,9.18,9.18
"60771","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34347325","00093480830462193699",0.32,0.3,0.23,0,14.5,14.5,"T0","VIC",27.62,25.11,"eparcel_wine.VIC","ORE","No",0.02208,5.52,14.5,NA,"X9.01kg_to_16kg",32,6,29.76,29.76
"60772","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822773071,20240320,"WX34347325","00093480830462193736",0.32,0.31,0.23,0,14.5,14.5,"T0","VIC",29.12,26.47,"eparcel_wine.VIC","ORE","No",0.022816,5.704,14.5,NA,"X9.01kg_to_16kg",32,6,29.76,29.76
"60774","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822784003,20240320,"WX34333932","00093480830462192784",0.33,0.31,0.24,0,14.9,14.9,"T1","VIC",27.62,25.11,"eparcel_wine.VIC","ORE","No",0.024552,6.138,14.9,NA,"X9.01kg_to_16kg",33,6,29.76,29.76
"60775","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822784003,20240320,"WX34333932","00093480830462192821",0.33,0.31,0.24,0,14.9,14.9,"T1","VIC",27.62,25.11,"eparcel_wine.VIC","ORE","No",0.024552,6.138,14.9,NA,"X9.01kg_to_16kg",33,6,29.76,29.76
"60776","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822784003,20240320,"WX34333932","00093480830462192852",0.35,0.33,0.26,0,17.65,17.65,"T1","VIC",32.06,29.15,"eparcel_wine.VIC","ORE","No",0.03003,7.5075,17.65,NA,"X16.01kg_to_22kg",33,7,34.99,34.99
"60777","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822784003,20240320,"WX34333932","00093480830462192920",0.26,0.17,0.15,1.658,7,0,"T1","VIC",19.78,17.98,"eparcel_wine.VIC","ORE","No",0.00663,1.6575,7,NA,"X5.01kg_to_9kg",33,5,21.23,21.23
"60778","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822784003,20240320,"WX34342993","00093480830462193507",0.36,0.31,0.26,0,15.9,15.95,"V1","VIC",5.83,5.3,"eparcel_wine.VIC","ORE","No",0.029016,7.254,15.9,NA,"X9.01kg_to_16kg",11,6,10.05,10.05
"60779","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822784003,20240320,"WX34342993","00093480830462193545",0.35,0.31,0.26,0,15.9,13.35,"V1","VIC",7.33,6.66,"eparcel_wine.VIC","ORE","No",0.02821,7.0525,15.9,NA,"X9.01kg_to_16kg",11,6,10.05,10.05
"60780","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822784003,20240320,"WX34342998","00093480830462193729",0.36,0.31,0.26,0,15.9,15.9,"V1","VIC",7.33,6.66,"eparcel_wine.VIC","ORE","No",0.029016,7.254,15.9,NA,"X9.01kg_to_16kg",11,6,10.05,10.05
"60781","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822784003,20240320,"WX34342998","00093480830462193767",0.36,0.31,0.26,0,15.9,15.9,"V1","VIC",5.83,5.3,"eparcel_wine.VIC","ORE","No",0.029016,7.254,15.9,NA,"X9.01kg_to_16kg",11,6,10.05,10.05
"60782","VIC","AU",7168461,"ORE - Wine Wholesaler - LAV","T/as eStore Logistics","","EPARCEL WINE STD",7822784003,20240320,"WX34342998","00093480830462193804",0.35,0.31,0.26,0,15.9,15.9,"V1","VIC",5.83,5.3,"eparcel_wine.VIC","ORE","No",0.02821,7.0525,15.9,NA,"X9.01kg_to_16kg",11,6,10.05,10.05
